race_code_uma_kol,bamei,chokyo2_flag,chokyo3_flag,chokyo_awase_flag,raw_chokyo_awase,chokyo_den_awase_flag,chokyo_den_awase,chokyo_den_awase_kubun,validation_result
202602220301101209,ポップグルーヴ,,,2,ハリエンジュに同入,,,,Other Pattern (Check manually)
202602220301101213,ベルアーブル,,1,2,アヴニールドブリエに0.2秒先着,2,アヴニールドブリエに0.2秒先着,併せ先着,Other Pattern (Check manually)
202602220401081109,ダブルハートボンド,,1,2,ポイントネモに0.4秒先着,2,ポイントネモに0.4秒先着,併せ先着,Other Pattern (Check manually)
202602220301101016,キングツェッペリン,,1,2,ゴーゴーコクラに同入,2,ゴーゴーコクラに同入,併せ同入,Other Pattern (Check manually)
202602220301100803,メリザンド,,,2,トゥモローズウェイに0.1秒先着,,,,Other Pattern (Check manually)
202602220301100712,ミッションルース,,1,2,モンサンヴェロニカに0.2秒先着,2,モンサンヴェロニカに0.2秒先着,併せ先着,Other Pattern (Check manually)
202602220301100703,クールシェルタ,,,2,トヨサカエに同入,,,,Other Pattern (Check manually)
202602220101020609,ペルセポネ,,1,2,ザックザクに0.2秒先着,2,ザックザクに0.2秒先着,併せ先着,Other Pattern (Check manually)
202602220401080506,ギガントマキア,,1,2,チョングクに0.2秒遅れ,2,チョングクに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602220401080511,ナイスプレーアスク,,1,2,レイズテンペストに同入,2,レイズテンペストに同入,併せ同入,Other Pattern (Check manually)
202602220101020504,ヒロウッドテール,,1,2,レッドホットに同入,2,レッドホットに同入,併せ同入,Other Pattern (Check manually)
202602220101020405,ホープレイジング,,1,2,エナスティールに0.2秒遅れ,2,エナスティールに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602220301100411,メイショウコガシラ,,1,2,メイショウアゴナスに0.3秒遅れ,2,メイショウアゴナスに0.3秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602220101020307,ラジャブルック,,1,2,ソニックステップに同入,2,ソニックステップに同入,併せ同入,Other Pattern (Check manually)
202602220301100301,ベニシア,,,3,グローリアスダンスに同入,,,,Other Pattern (Check manually)
202602220101020206,ゼンノフォトン,,1,2,ジャスティンゴッホに同入,2,ジャスティンゴッホに同入,併せ同入,Other Pattern (Check manually)
202602220101020208,ラヴネヴァーダイズ,,1,2,シャマレルに0.8秒先着,2,シャマレルに0.8秒先着,併せ先着,Other Pattern (Check manually)
202602220101020210,アクアマイスター,,1,2,ジーティースティアに0.2秒遅れ,2,ジーティースティアに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602220301100210,ロジケープ,,,3,ライヴジントニックに同入,,,,Other Pattern (Check manually)
202602220301100207,イーリスアスター,,,2,ベルテオドーラに0.2秒先着,,,,Other Pattern (Check manually)
202602220301100201,スリーマドンナ,,,3,ティスマイルに同入,,,,Other Pattern (Check manually)
202602220401080108,マクシーン,,1,2,グランフィエスタに0.2秒遅れ,2,グランフィエスタに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602220101020110,ルパピヨンブラン,,1,2,ジェムに0.1秒遅れ,2,ジェムに0.1秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602220101020108,モンサンヴェロニカ,,1,2,ミッションルースに0.2秒遅れ,2,ミッションルースに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602220301100107,ドルマバフチェ,,,2,リアルセンターに同入,,,,Other Pattern (Check manually)
202602210401071213,ボルトテソーロ,,,2,ウインテラジーナに0.1秒遅れ,,,,Other Pattern (Check manually)
202602210101011203,グレイスザクラウン,,1,2,コパノエイダンに同入,2,コパノエイダンに同入,併せ同入,Other Pattern (Check manually)
202602210301091214,クレセントウイング,,,2,トラストボスに0.2秒先着,,,,Other Pattern (Check manually)
202602210401071111,ローザサンリヴァル,,1,2,コンジェスタスに同入,2,コンジェスタスに同入,併せ同入,Other Pattern (Check manually)
202602210401071102,ヴェルテンベルク,,1,2,ミスティックレインに0.1秒先着,2,ミスティックレインに0.1秒先着,併せ先着,Other Pattern (Check manually)
202602210401071110,ヴォランテ,,1,2,ストップヤーニングに同入,2,ストップヤーニングに同入,併せ同入,Other Pattern (Check manually)
202602210101011103,スリールミニョン,,1,2,フィラーエに0.3秒遅れ,2,フィラーエに0.3秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602210101011117,メイショウソラフネ,,1,2,リアライズに同入,2,リアライズに同入,併せ同入,Other Pattern (Check manually)
202602210301091111,ドゥラリス,,1,2,ジャスティンレビンに0.6秒先着,2,ジャスティンレビンに0.6秒先着,併せ先着,Other Pattern (Check manually)
202602210401071013,レッドプロフェシー,,1,2,ベルジュロネットに0.2秒遅れ,2,ベルジュロネットに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602210401071010,ヴァナルガンド,,1,2,イニスフェイルに同入,2,イニスフェイルに同入,併せ同入,Other Pattern (Check manually)
202602210101011008,ベルジュロネット,,1,2,レッドプロフェシーに0.2秒先着,2,レッドプロフェシーに0.2秒先着,併せ先着,Other Pattern (Check manually)
202602210101010903,フラッシングレート,,1,2,ペイシャプレイにクビ先着,2,ペイシャプレイにクビ先着,併せ先着,Other Pattern (Check manually)
202602210101010907,ラガークイン,,1,2,ベルジュロネットに0.5秒遅れ,2,ベルジュロネットに0.5秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602210101010901,オーバースタンド,,1,2,ピースビートに同入,2,ピースビートに同入,併せ同入,Other Pattern (Check manually)
202602210301090908,フレンドモナコ,,1,2,リネンタイリンに0.4秒遅れ,2,リネンタイリンに0.4秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602210401070802,ダイシンバースディ,,1,2,ラングロワブリッジに0.1秒先着,2,ラングロワブリッジに0.1秒先着,併せ先着,Other Pattern (Check manually)
202602210301090802,ニシノヒミチュ,,,3,トレンドラドに0.1秒先着,,,,Other Pattern (Check manually)
202602210301090806,デュアルアップ,,,2,トルティーナに同入,,,,Other Pattern (Check manually)
202602210101010710,ザックザク,,1,2,ペルセポネに0.2秒遅れ,2,ペルセポネに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602210101010711,ピオニエーレ,,1,2,レイムに0.1秒先着,2,レイムに0.1秒先着,併せ先着,Other Pattern (Check manually)
202602210301090706,ブリスキー,,1,2,ダノンオンザビートに0.4秒遅れ,2,ダノンオンザビートに0.4秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602210101010610,ロゼア,,1,2,タイセイサーブルに同入,2,タイセイサーブルに同入,併せ同入,Other Pattern (Check manually)
202602210101010517,エルヴィッタ,,1,2,ペプチドナイルにクビ先着,2,ペプチドナイルにクビ先着,併せ先着,Other Pattern (Check manually)
202602210101010513,ロッサコメータ,,1,2,カルミアクラウンに0.3秒先着,2,カルミアクラウンに0.3秒先着,併せ先着,Other Pattern (Check manually)
202602210101010507,スリラーナイト,,1,2,ラインメテオラに同入,2,ラインメテオラに同入,併せ同入,Other Pattern (Check manually)
202602210301090508,ジオフロント,,1,2,チェリヴェントにクビ先着,2,チェリヴェントにクビ先着,併せ先着,Other Pattern (Check manually)
202602210401070409,クロレ,,1,2,ロングトールサリーに同入,2,ロングトールサリーに同入,併せ同入,Other Pattern (Check manually)
202602210401070401,マネーマネー,,1,2,ダイオジェナイトに0.6秒遅れ,2,ダイオジェナイトに0.6秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602210101010411,タイセイサーブル,,1,2,ロゼアに同入,2,ロゼアに同入,併せ同入,Other Pattern (Check manually)
202602210301090309,ジェム,,1,2,ルパピヨンブランに0.1秒先着,2,ルパピヨンブランに0.1秒先着,併せ先着,Other Pattern (Check manually)
202602210301090214,エボニードール,,1,2,アーマルコライトに1.0秒遅れ,2,アーマルコライトに1.0秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602210301090217,マティンデ,,1,2,アカウフリューゲルに0.1秒遅れ,2,アカウフリューゲルに0.1秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602210301090205,テリオスルミ,,1,2,カズシに0.2秒遅れ,2,カズシに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602210301090204,グローリアスダンス,,,3,ベニシアに同入,,,,Other Pattern (Check manually)
202602210101010113,ライトニングロッド,,1,2,シビックアスコットに0.2秒遅れ,2,シビックアスコットに0.2秒遅れ,併せ遅れ,Other Pattern (Check manually)
202602210301090109,ラインメテオラ,,1,2,スリラーナイトに同入,2,スリラーナイトに同入,併せ同入,Other Pattern (Check manually)
